Name,Age,Gender,Computer Network,Web Computing,Machine Learning,Data Warehouse and Mining,Statistics,Total,Percentage,Result
Ishaan Patel,24,Female,52,70,84,71,58,335,67,Successful
Advik Shah,24,Female,83,46,62,89,45,325,65,Successful
Rudra Sharma,21,Male,82,85,100,97,66,430,86,Successful
Mohammad Patel,22,Female,34,81,64,81,83,343,68.6,Successful
Myra Sharma,20,Male,83,70,97,87,89,426,85.2,Successful
Kabir Sharma,22,Female,33,43,97,84,67,324,64.8,Successful
Advik Shah,24,Male,52,45,97,89,84,367,73.4,Successful
Ananya Sharma,19,Male,74,70,43,94,45,326,65.2,Successful
Myra Patel,24,Male,99,70,97,42,64,372,74.4,Successful
Neha Shah,19,Female,34,70,95,89,62,350,70,Successful
Kian Shah,22,Female,88,94,97,77,45,401,80.2,Successful
Kian Shah,22,Female,83,95,33,89,38,338,67.6,Successful
Khushi Shah,22,Male,41,69,97,51,49,307,61.4,Successful
Aditi Patel,24,Female,46,39,34,89,76,284,56.8,Successful
Shreyansh Patel,21,Male,69,70,97,89,45,370,74,Successful
Atharva Shah,24,Female,52,83,61,49,47,292,58.4,Successful
Aryan Sharma,23,Male,52,70,100,89,91,402,80.4,Successful
Aditi Patel,22,Male,78,95,97,60,64,394,78.8,Successful
Nidhi Sharma,22,Male,52,91,86,89,88,406,81.2,Successful
Pihu Patel,20,Male,52,92,44,46,45,279,55.8,Successful
Arjun Patel,19,Male,46,80,38,96,45,305,61,Successful
Aaryan Sharma,23,Male,52,55,83,35,33,258,51.6,Successful
Dhruv Sharma,20,Female,52,90,91,89,74,396,79.2,Successful
Saanvi Patel,21,Female,37,97,56,89,45,324,64.8,Successful
Rudra Shah,19,Male,52,58,68,87,82,347,69.4,Successful
Pranav Sharma,20,Male,52,70,62,33,45,262,52.4,Successful
Aarush Patel,22,Male,52,86,78,78,54,348,69.6,Successful
Riya Sharma,24,Female,52,55,51,51,45,254,50.8,Successful
Myra Patel,21,Male,95,70,52,94,45,356,71.2,Successful
Aadhya Sharma,24,Male,52,70,67,89,45,323,64.6,Successful
Aditi Patel,19,Female,52,90,84,87,45,358,71.6,Successful
Dhruv Patel,20,Female,80,70,97,89,38,374,74.8,Successful
Myra Sharma,23,Female,40,70,39,89,48,286,57.2,Successful
Ishaan Sharma,21,Female,52,70,68,89,33,312,62.4,Successful
Saanvi Patel,21,Female,52,70,97,89,48,356,71.2,Successful
Riya Patel,24,Female,52,71,97,95,39,354,70.8,Successful
Aaryan Sharma,23,Female,74,68,49,89,89,369,73.8,Successful
Vihaan Sharma,24,Male,91,70,97,47,70,375,75,Successful
Aaradhya Shah,20,Female,72,62,83,64,42,323,64.6,Successful
Pihu Sharma,20,Female,60,68,59,89,45,321,64.2,Successful
Vivaan Sharma,23,Male,68,70,85,55,88,366,73.2,Successful
Khushi Shah,21,Female,65,83,70,99,45,362,72.4,Successful
Sara Sharma,22,Female,52,74,72,35,91,324,64.8,Successful
Atharva Shah,19,Female,64,79,52,98,59,352,70.4,Successful
Vihaan Patel,23,Female,72,56,43,51,62,284,56.8,Successful
Myra Sharma,24,Male,52,57,43,87,58,297,59.4,Successful
Kabir Shah,20,Female,52,58,64,89,50,313,62.6,Successful
Mohammad Patel,22,Female,52,63,66,34,48,263,52.6,Successful
Sara Sharma,24,Female,52,70,97,78,45,342,68.4,Successful
Vihaan Shah,22,Female,86,38,79,96,90,389,77.8,Successful
Ansh Sharma,24,Male,52,78,97,88,51,366,73.2,Successful
Nandini Sharma,19,Male,82,70,44,40,45,281,56.2,Successful
Pihu Patel,22,Female,52,58,92,38,64,304,60.8,Successful
Aryan Sharma,19,Male,52,70,97,79,45,343,68.6,Successful
Sara Shah,22,Female,58,83,80,89,72,382,76.4,Successful
Shreya Patel,22,Female,88,70,99,89,52,398,79.6,Successful
Aayan Shah,24,Male,34,75,79,87,45,320,64,Successful
Nandini Sharma,19,Female,52,52,90,73,62,329,65.8,Successful
Aditya Sharma,23,Male,52,99,84,89,45,369,73.8,Successful
Aarush Shah,24,Female,52,99,59,94,63,367,73.4,Successful
Kabir Sharma,21,Male,81,37,84,89,57,348,69.6,Successful
Ishaan Shah,20,Female,37,84,37,64,95,317,63.4,Successful
Aryan Shah,19,Male,95,88,97,75,45,400,80,Successful
Vihaan Patel,21,Female,80,95,97,62,52,386,77.2,Successful
Darsh Sharma,21,Female,68,70,55,36,52,281,56.2,Successful
Reyansh Shah,23,Male,52,70,34,98,88,342,68.4,Successful
Aditi Sharma,20,Male,91,33,64,73,79,340,68,Successful
Shaurya Shah,24,Male,52,61,59,52,39,263,52.6,Successful
Aditi Shah,19,Male,68,70,97,79,61,375,75,Successful
Riya Shah,20,Female,80,89,95,64,62,390,78,Successful
Myra Shah,19,Female,89,86,86,89,45,395,79,Successful
Vihaan Shah,20,Female,96,68,83,86,73,406,81.2,Successful
Aayan Shah,24,Male,85,43,50,92,45,315,63,Successful
Pihu Patel,24,Male,52,90,57,89,98,386,77.2,Successful
Ananya Sharma,24,Female,99,36,97,82,45,359,71.8,Successful
Aditya Shah,21,Male,89,72,35,89,45,330,66,Successful
Sai Shah,22,Female,52,70,97,82,44,345,69,Successful
Vihaan Sharma,21,Female,40,79,64,89,45,317,63.4,Successful
Darsh Patel,20,Male,57,70,60,89,62,338,67.6,Successful
Vivaan Patel,21,Female,61,34,45,88,45,273,54.6,Successful
Atharva Patel,21,Female,52,70,97,89,45,353,70.6,Successful
Kabir Shah,23,Male,59,96,97,84,51,387,77.4,Successful
Advik Patel,20,Female,51,57,65,50,45,268,53.6,Successful
Rudra Sharma,22,Female,78,71,45,77,85,356,71.2,Successful
Aarush Shah,24,Male,46,70,89,37,60,302,60.4,Successful
Darsh Patel,22,Male,67,68,98,89,45,367,73.4,Successful
Pihu Sharma,23,Female,53,70,97,57,45,322,64.4,Successful
Dhruv Shah,22,Female,50,36,44,89,45,264,52.8,Successful
Aaradhya Shah,24,Male,87,70,73,72,37,339,67.8,Successful
Pihu Shah,23,Male,52,70,61,57,98,338,67.6,Successful
Atharva Shah,24,Female,81,65,97,89,37,369,73.8,Successful
Reyansh Shah,21,Female,85,70,97,88,57,397,79.4,Successful
Aayan Shah,20,Male,81,70,97,41,36,325,65,Successful
Ananya Patel,21,Female,52,38,47,85,45,267,53.4,Successful
Aarav Sharma,24,Female,51,63,69,97,95,375,75,Successful
Aadhya Shah,23,Female,72,56,97,89,42,356,71.2,Successful
Pranav Sharma,20,Male,43,37,64,89,45,278,55.6,Successful
Aarush Patel,24,Male,56,87,97,57,45,342,68.4,Successful
Atharva Sharma,23,Female,52,70,53,35,80,290,58,Successful
Shreya Patel,21,Female,50,42,70,77,45,284,56.8,Successful
Anvi Patel,23,Female,44,70,97,89,96,396,79.2,Successful
Vivaan Sharma,22,Female,54,43,95,40,79,311,62.2,Successful
Aadhya Shah,22,Female,94,70,97,79,69,409,81.8,Successful
Aarush Sharma,20,Male,52,55,97,89,60,353,70.6,Successful
Aryan Sharma,19,Female,58,70,81,36,36,281,56.2,Successful
Kabir Shah,22,Female,80,94,70,87,45,376,75.2,Successful
Ansh Sharma,20,Female,90,84,52,89,45,360,72,Successful
Krish Sharma,21,Male,92,63,79,82,56,372,74.4,Successful
Saanvi Patel,22,Female,63,55,57,89,45,309,61.8,Successful
Aarush Sharma,24,Female,52,70,43,77,45,287,57.4,Successful
Shreyansh Sharma,23,Female,55,58,93,35,45,286,57.2,Successful
Advik Sharma,20,Male,46,64,97,33,45,285,57,Successful
Aaradhya Patel,21,Female,75,70,74,81,62,362,72.4,Successful
Jiya Patel,21,Male,51,70,80,89,65,355,71,Successful
Aditi Sharma,20,Male,52,36,74,89,80,331,66.2,Successful
Sara Sharma,24,Female,52,93,51,89,45,330,66,Successful
Advik Patel,20,Male,44,70,39,65,52,270,54,Successful
Mohammad Sharma,24,Female,52,70,70,40,45,277,55.4,Successful
Rudra Patel,22,Female,52,70,35,66,45,268,53.6,Successful
Ishaan Sharma,21,Male,64,92,97,73,36,362,72.4,Successful
Kabir Patel,20,Male,97,70,54,86,94,401,80.2,Successful
Sai Sharma,20,Male,45,70,88,85,65,353,70.6,Successful
Arjun Shah,21,Female,93,65,97,48,45,348,69.6,Successful
Aryan Shah,21,Male,52,70,97,64,65,348,69.6,Successful
Ansh Sharma,23,Female,60,70,39,45,45,259,51.8,Successful
Arnav Shah,19,Male,97,36,97,89,86,405,81,Successful
Advik Patel,23,Female,87,63,97,89,96,432,86.4,Successful
Aadi Shah,24,Female,96,44,66,95,75,376,75.2,Successful
Jiya Shah,24,Male,42,81,83,89,50,345,69,Successful
Shreya Patel,19,Female,60,63,88,42,44,297,59.4,Successful
Vivaan Sharma,19,Male,91,46,97,89,46,369,73.8,Successful
Khushi Patel,19,Female,52,61,53,57,39,262,52.4,Successful
Vivaan Shah,19,Male,47,41,97,57,48,290,58,Successful
Aarav Sharma,20,Female,57,70,100,69,71,367,73.4,Successful
Pranav Patel,19,Male,52,70,88,80,45,335,67,Successful
Aarav Shah,23,Female,87,70,65,89,45,356,71.2,Successful
Aarush Shah,21,Female,83,85,45,77,45,335,67,Successful
Aadhya Shah,24,Female,37,70,97,89,45,338,67.6,Successful
Neha Sharma,24,Male,52,66,47,91,45,301,60.2,Successful
Neha Patel,20,Female,94,73,85,89,92,433,86.6,Successful
Sara Sharma,21,Male,71,37,97,89,70,364,72.8,Successful
Saanvi Patel,20,Female,95,98,97,89,53,432,86.4,Successful
Krish Sharma,21,Female,83,95,82,53,45,358,71.6,Successful
Mohammad Sharma,21,Male,41,80,79,89,97,386,77.2,Successful
Shaurya Shah,24,Male,68,58,97,37,45,305,61,Successful
Shreyansh Patel,20,Female,45,70,95,66,74,350,70,Successful
Shreyansh Sharma,23,Female,52,61,97,80,81,371,74.2,Successful
Aadhya Sharma,22,Female,89,70,63,89,45,356,71.2,Successful
Aarush Shah,22,Female,52,59,97,39,71,318,63.6,Successful
Ishaan Shah,24,Male,98,70,97,61,36,362,72.4,Successful
Ananya Shah,23,Male,52,70,63,41,50,276,55.2,Successful
Mohammad Shah,19,Female,54,70,67,42,59,292,58.4,Successful
Aaryan Sharma,24,Male,52,70,40,35,99,296,59.2,Successful
Riya Patel,22,Male,46,99,97,34,78,354,70.8,Successful
Ansh Sharma,24,Female,76,88,59,98,72,393,78.6,Successful
Myra Sharma,21,Female,82,70,97,89,92,430,86,Successful
Aadhya Sharma,23,Female,52,34,62,39,45,232,46.4,Successful
Aarush Patel,22,Male,52,34,97,89,45,317,63.4,Successful
Vivaan Sharma,19,Female,42,44,33,47,45,211,42.2,Successful
Vivaan Sharma,20,Male,52,70,97,81,95,395,79,Successful
Reyansh Patel,22,Female,68,69,96,98,45,376,75.2,Successful
Aadi Sharma,22,Female,52,44,97,89,45,327,65.4,Successful
Aditya Shah,24,Female,48,85,78,89,45,345,69,Successful
Mohammad Sharma,24,Male,71,70,78,89,84,392,78.4,Successful
Arnav Sharma,20,Female,52,67,54,37,84,294,58.8,Successful
Vihaan Shah,23,Male,51,70,97,55,68,341,68.2,Successful
Jiya Sharma,19,Female,52,74,49,56,45,276,55.2,Successful
Ishaan Sharma,23,Male,54,54,35,51,43,237,47.4,Successful
Ishaan Patel,24,Female,40,54,91,36,65,286,57.2,Successful
Aadhya Shah,24,Female,58,70,61,89,45,323,64.6,Successful
Krish Patel,23,Female,52,60,42,57,51,262,52.4,Successful
Nandini Patel,24,Male,88,70,34,89,48,329,65.8,Successful
Krish Shah,22,Male,81,70,39,89,75,354,70.8,Successful
Myra Patel,20,Male,40,70,48,78,82,318,63.6,Successful
Kian Sharma,23,Female,52,90,73,89,48,352,70.4,Successful
Sara Shah,22,Male,96,91,97,89,45,418,83.6,Successful
Aditya Sharma,21,Male,66,70,50,65,45,296,59.2,Successful
Ananya Sharma,20,Male,81,51,93,89,45,359,71.8,Successful
Dhruv Shah,23,Male,52,54,45,91,36,278,55.6,Successful
Arnav Patel,23,Male,52,44,97,34,81,308,61.6,Successful
Dhruv Sharma,23,Male,91,70,97,89,56,403,80.6,Successful
Dhruv Patel,21,Male,100,70,61,94,45,370,74,Successful
Rudra Shah,22,Female,90,37,33,62,54,276,55.2,Successful
Vihaan Sharma,22,Female,52,53,97,42,35,279,55.8,Successful
Sara Sharma,24,Female,92,58,48,65,45,308,61.6,Successful
Khushi Patel,23,Male,52,40,97,89,36,314,62.8,Successful
Arnav Shah,21,Male,52,56,53,96,73,330,66,Successful
Pihu Patel,19,Male,71,84,97,89,36,377,75.4,Successful
Pihu Sharma,20,Male,52,70,48,37,98,305,61,Successful
Arjun Patel,22,Male,48,74,67,68,88,345,69,Successful
Riya Sharma,23,Male,52,49,38,69,64,272,54.4,Successful
Aditi Sharma,22,Female,36,70,44,77,75,302,60.4,Successful
Dhruv Patel,19,Male,52,56,94,85,80,367,73.4,Successful
Arnav Patel,19,Female,86,47,83,38,50,304,60.8,Successful
Vihaan Patel,22,Female,50,39,82,79,45,295,59,Successful
Nandini Sharma,21,Female,52,70,97,88,67,374,74.8,Successful
Darsh Patel,22,Female,52,52,97,43,45,289,57.8,Successful
Kabir Shah,19,Male,52,39,97,45,95,328,65.6,Successful
Aditi Shah,21,Female,48,64,69,36,45,262,52.4,Successful
Aarush Shah,24,Male,49,34,50,89,65,287,57.4,Successful
Myra Shah,21,Male,62,52,97,89,92,392,78.4,Successful
Kian Patel,22,Female,44,69,36,55,81,285,57,Successful
Nandini Patel,24,Male,52,70,67,89,63,341,68.2,Successful
Aayan Sharma,22,Female,96,42,97,52,93,380,76,Successful
Sara Patel,20,Female,56,36,97,93,39,321,64.2,Successful
Vihaan Shah,19,Male,59,70,77,89,45,340,68,Successful
Vivaan Sharma,19,Female,57,70,69,89,48,333,66.6,Successful
Rudra Patel,19,Male,52,45,97,71,98,363,72.6,Successful
Shreya Sharma,19,Female,52,70,97,48,45,312,62.4,Successful
Aayan Shah,23,Female,96,81,97,89,78,441,88.2,Successful
Aarush Shah,22,Female,37,70,61,59,40,267,53.4,Successful
Pranav Shah,23,Male,61,70,97,63,45,336,67.2,Successful
Aayan Sharma,22,Male,87,75,97,89,94,442,88.4,Successful
Ananya Sharma,19,Female,73,91,97,89,70,420,84,Successful
Vivaan Sharma,22,Male,52,70,74,89,50,335,67,Successful
Aadhya Patel,23,Female,99,70,56,84,99,408,81.6,Successful
Nandini Sharma,19,Female,61,69,38,55,99,322,64.4,Successful
Shreyansh Sharma,23,Male,36,70,97,89,63,355,71,Successful
Vivaan Patel,20,Female,52,45,97,89,45,328,65.6,Successful
Aarush Shah,20,Female,53,70,97,52,45,317,63.4,Successful
Shreya Sharma,21,Female,84,84,97,49,45,359,71.8,Successful
Mohammad Sharma,21,Female,90,70,71,89,45,365,73,Successful
Pranav Sharma,21,Male,71,97,97,89,59,413,82.6,Successful
Sara Patel,19,Female,75,97,97,59,45,373,74.6,Successful
Arnav Patel,23,Male,38,34,41,89,87,289,57.8,Successful
Arnav Sharma,19,Male,55,94,96,73,45,363,72.6,Successful
Ananya Patel,19,Male,52,71,75,49,51,298,59.6,Successful
Reyansh Sharma,21,Female,84,70,33,94,72,353,70.6,Successful
Myra Shah,24,Male,52,63,97,89,89,390,78,Successful
Saanvi Sharma,23,Female,59,96,56,94,45,350,70,Successful
Ritik Shah,23,Female,88,70,72,91,87,408,81.6,Successful
Pranav Shah,22,Male,85,66,90,63,45,349,69.8,Successful
Dhruv Sharma,20,Female,52,53,97,83,81,366,73.2,Successful
Myra Patel,24,Male,52,62,97,50,45,306,61.2,Successful
Aarush Sharma,20,Male,46,37,78,89,46,296,59.2,Successful
Saanvi Sharma,22,Female,41,70,86,89,63,349,69.8,Successful
Ritik Sharma,19,Male,89,98,99,74,100,460,92,Successful
Shreya Sharma,21,Male,90,78,97,79,72,416,83.2,Successful
Nidhi Sharma,23,Female,52,92,97,89,98,428,85.6,Successful
Vihaan Sharma,23,Female,64,45,76,89,95,369,73.8,Successful
Atharva Sharma,21,Male,94,82,68,89,45,378,75.6,Successful
Krish Patel,20,Female,52,70,97,49,48,316,63.2,Successful
Nidhi Sharma,24,Female,52,93,97,75,96,413,82.6,Successful
Ritik Sharma,20,Male,42,70,97,71,45,325,65,Successful
Aaradhya Sharma,22,Female,67,80,97,99,45,388,77.6,Successful
Riya Shah,21,Female,52,35,97,86,79,349,69.8,Successful
Vivaan Sharma,24,Female,52,70,42,89,36,289,57.8,Successful
Nidhi Shah,20,Male,92,70,72,89,77,400,80,Successful
Rudra Sharma,24,Female,35,71,97,63,44,310,62,Successful
Aaradhya Shah,20,Female,74,80,66,35,97,352,70.4,Successful
Aryan Shah,21,Female,98,40,97,89,79,403,80.6,Successful
Riya Sharma,21,Female,70,70,34,89,45,308,61.6,Successful
Ansh Sharma,20,Female,52,70,59,33,45,259,51.8,Successful
Aarush Shah,24,Female,67,34,97,88,45,331,66.2,Successful
Myra Patel,19,Female,52,48,47,39,51,237,47.4,Successful
Riya Shah,21,Female,80,50,43,51,45,269,53.8,Successful
Nidhi Patel,22,Male,78,62,97,99,72,408,81.6,Successful
Pranav Shah,22,Female,54,41,97,89,45,326,65.2,Successful
Arnav Patel,20,Male,54,70,82,95,39,340,68,Successful
Kian Sharma,20,Male,47,78,97,68,70,360,72,Successful
Rudra Sharma,24,Male,52,70,97,71,45,335,67,Successful
Myra Patel,22,Female,52,69,58,97,47,323,64.6,Successful
Aaryan Sharma,22,Male,52,69,38,89,38,286,57.2,Successful
Kabir Patel,21,Male,58,92,97,90,71,408,81.6,Successful
Vihaan Shah,24,Female,41,70,89,42,45,287,57.4,Successful
Atharva Patel,22,Male,96,66,39,97,45,343,68.6,Successful
Aryan Shah,23,Female,52,48,75,55,72,302,60.4,Successful
Riya Shah,23,Female,73,36,46,84,55,294,58.8,Successful
Arnav Patel,21,Female,89,58,47,89,45,328,65.6,Successful
Vihaan Patel,21,Male,52,84,84,89,45,354,70.8,Successful
Shreya Patel,24,Female,52,55,97,50,69,323,64.6,Successful
Anvi Shah,21,Male,54,51,97,89,58,349,69.8,Successful
Saanvi Patel,22,Male,65,66,76,83,51,341,68.2,Successful
Reyansh Shah,22,Male,52,68,97,86,82,385,77,Successful
Aadi Patel,21,Male,36,93,97,76,45,347,69.4,Successful
Aarush Patel,21,Female,40,84,97,41,50,312,62.4,Successful
Saanvi Sharma,19,Female,53,70,47,88,67,325,65,Successful
Pihu Sharma,23,Male,52,58,99,95,57,361,72.2,Successful
Sai Shah,23,Female,38,93,66,63,48,308,61.6,Successful
Ishaan Sharma,23,Male,52,70,96,73,55,346,69.2,Successful
Advik Sharma,24,Female,52,87,97,89,45,370,74,Successful
Rudra Sharma,24,Female,52,48,53,48,95,296,59.2,Successful
Vivaan Sharma,19,Female,61,70,97,57,43,328,65.6,Successful
Advik Patel,20,Female,50,70,89,82,56,347,69.4,Successful
Vivaan Patel,21,Female,52,70,59,89,66,336,67.2,Successful
Arnav Shah,19,Male,81,60,97,89,98,425,85,Successful
Riya Sharma,20,Male,52,51,68,68,53,292,58.4,Successful
Vihaan Shah,20,Female,52,72,97,57,92,370,74,Successful
Advik Shah,23,Female,91,70,55,76,78,370,74,Successful
Advik Patel,19,Male,69,98,34,89,45,335,67,Successful
Rudra Shah,24,Female,52,45,57,89,45,288,57.6,Successful
Aryan Patel,21,Female,52,41,64,89,84,330,66,Successful
Atharva Shah,24,Male,93,70,56,89,50,358,71.6,Successful
Sara Shah,23,Male,72,42,97,75,67,353,70.6,Successful
Khushi Sharma,24,Male,52,82,84,88,45,351,70.2,Successful
Shreyansh Sharma,20,Female,91,69,97,59,44,360,72,Successful
Dhruv Patel,21,Female,94,96,53,65,37,345,69,Successful
Ritik Sharma,20,Male,62,70,54,66,38,290,58,Successful
Shaurya Shah,23,Female,33,70,97,57,98,355,71,Successful
Sai Shah,19,Female,57,83,97,89,53,379,75.8,Successful
Aryan Shah,23,Male,45,70,36,36,94,281,56.2,Successful
Shreyansh Shah,21,Male,52,69,73,43,82,319,63.8,Successful
Dhruv Shah,20,Male,52,70,97,92,45,356,71.2,Successful
Myra Patel,24,Male,52,70,43,53,63,281,56.2,Successful
Vihaan Shah,20,Female,52,95,48,58,86,339,67.8,Successful
Vihaan Sharma,22,Male,97,86,77,43,40,343,68.6,Successful
Pihu Sharma,23,Female,52,45,97,89,45,328,65.6,Successful
Dhruv Sharma,23,Female,45,69,82,95,57,348,69.6,Successful
Arjun Patel,19,Male,84,70,70,89,37,350,70,Successful
Sai Shah,24,Female,61,70,97,43,45,316,63.2,Successful
Vihaan Sharma,21,Female,52,91,95,89,45,372,74.4,Successful
Arnav Sharma,19,Female,33,80,42,36,45,236,47.2,Successful
Aditya Patel,22,Female,85,72,97,55,93,402,80.4,Successful
Ritik Shah,23,Female,96,95,36,54,45,326,65.2,Successful
Jiya Patel,23,Female,69,70,93,89,74,395,79,Successful
Sara Shah,21,Male,42,62,66,94,69,333,66.6,Successful
Pihu Shah,21,Female,46,37,97,89,45,314,62.8,Successful
Myra Shah,23,Female,98,58,68,35,59,318,63.6,Successful
Shreyansh Patel,23,Female,70,60,85,89,94,398,79.6,Successful
Rudra Sharma,24,Female,44,62,97,75,50,328,65.6,Successful
Aayan Shah,21,Female,47,56,97,82,78,360,72,Successful
Aayan Patel,19,Female,33,70,97,89,38,327,65.4,Successful
Darsh Shah,22,Female,92,70,41,57,45,305,61,Successful
Arjun Patel,20,Male,52,52,77,80,52,313,62.6,Successful
Vivaan Patel,21,Female,83,85,97,59,45,369,73.8,Successful
Nidhi Patel,19,Female,39,41,56,89,45,270,54,Successful
Nandini Shah,22,Male,52,70,97,89,45,353,70.6,Successful
Myra Shah,19,Female,46,70,61,40,45,262,52.4,Successful
Aayan Sharma,19,Female,89,85,54,76,74,378,75.6,Successful
Aadhya Shah,24,Male,36,68,97,39,75,315,63,Successful
Ritik Sharma,22,Female,98,58,95,59,45,355,71,Successful
Aditi Shah,24,Male,73,39,36,89,87,324,64.8,Successful
Advik Shah,22,Female,52,59,39,69,45,264,52.8,Successful
Aadi Shah,19,Male,52,92,100,58,45,347,69.4,Successful
Pranav Shah,21,Male,52,100,91,89,86,418,83.6,Successful
Vivaan Sharma,22,Female,84,70,97,41,45,337,67.4,Successful
Jiya Shah,22,Female,52,68,97,37,45,299,59.8,Successful
Ishaan Sharma,22,Female,51,95,59,71,74,350,70,Successful
Darsh Shah,22,Female,52,91,97,89,63,392,78.4,Successful
Krish Sharma,19,Female,48,44,97,89,94,372,74.4,Successful
Arjun Patel,21,Female,64,93,53,64,69,343,68.6,Successful
Vihaan Sharma,24,Female,99,90,72,70,45,376,75.2,Successful
Kabir Shah,21,Male,52,72,82,36,48,290,58,Successful
Aayan Shah,23,Male,91,70,61,86,97,405,81,Successful
Sara Shah,20,Female,52,35,56,33,45,221,44.2,Successful
Neha Patel,19,Female,43,83,37,89,78,330,66,Successful
Aarav Sharma,23,Female,52,47,74,95,74,342,68.4,Successful
Aayan Sharma,20,Male,71,40,88,42,39,280,56,Successful
Vivaan Sharma,22,Male,77,90,97,97,45,406,81.2,Successful
Shaurya Sharma,20,Male,49,70,97,89,58,363,72.6,Successful
Nidhi Shah,24,Male,40,70,35,67,37,249,49.8,Successful
Saanvi Patel,19,Female,85,91,60,45,43,324,64.8,Successful
Ansh Patel,24,Male,87,72,69,89,93,410,82,Successful
Aadi Patel,21,Male,66,70,70,33,83,322,64.4,Successful
Anvi Sharma,19,Female,45,70,71,54,43,283,56.6,Successful
Aryan Shah,20,Female,100,54,55,89,45,343,68.6,Successful
Aarush Patel,23,Female,44,83,97,57,46,327,65.4,Successful
Aayan Sharma,23,Female,58,83,60,75,94,370,74,Successful
Ananya Sharma,23,Female,57,98,97,89,45,386,77.2,Successful
Aadi Patel,20,Female,65,70,97,89,80,401,80.2,Successful
Advik Shah,20,Female,52,45,90,100,45,332,66.4,Successful
Aarush Sharma,20,Female,49,41,66,89,70,315,63,Successful
Aaryan Sharma,24,Female,62,46,97,65,45,315,63,Successful
Ishaan Sharma,21,Female,55,79,97,89,75,395,79,Successful
Saanvi Sharma,20,Female,91,70,37,89,57,344,68.8,Successful
Pihu Shah,22,Male,78,77,63,90,45,353,70.6,Successful
Aaradhya Sharma,24,Female,52,70,81,77,50,330,66,Successful
Jiya Sharma,20,Female,52,70,70,72,60,324,64.8,Successful
Aadi Patel,20,Male,65,70,67,43,74,319,63.8,Successful
Anvi Shah,20,Male,77,90,34,93,45,339,67.8,Successful
Sai Shah,22,Female,52,70,97,89,45,353,70.6,Successful
Kian Sharma,19,Male,80,70,69,36,33,288,57.6,Successful
Saanvi Shah,24,Male,40,36,66,48,62,252,50.4,Successful
Shreyansh Patel,24,Female,88,49,93,39,45,314,62.8,Successful
Rudra Patel,23,Male,93,75,42,89,45,344,68.8,Successful
Sara Sharma,22,Female,74,43,48,69,45,279,55.8,Successful
Nidhi Sharma,20,Male,52,45,84,51,45,277,55.4,Successful
Vivaan Patel,22,Male,52,70,55,89,99,365,73,Successful
Anvi Sharma,22,Female,52,70,41,89,45,297,59.4,Successful
Sara Sharma,22,Female,43,95,100,89,71,398,79.6,Successful
Dhruv Shah,19,Female,67,81,37,88,45,318,63.6,Successful
Sai Patel,22,Female,71,70,77,33,57,308,61.6,Successful
Aadhya Shah,19,Male,52,34,59,59,91,295,59,Successful
Khushi Patel,20,Male,84,70,97,89,43,383,76.6,Successful
Shreya Patel,22,Male,52,56,69,89,90,356,71.2,Successful
Riya Sharma,20,Female,70,70,97,89,45,371,74.2,Successful
Aditi Shah,23,Female,50,70,46,85,45,296,59.2,Successful
Aayan Sharma,19,Female,84,54,47,99,45,329,65.8,Successful
Ansh Shah,19,Male,52,70,56,87,49,314,62.8,Successful
Aarav Sharma,21,Female,52,65,89,85,45,336,67.2,Successful
Aaryan Shah,22,Female,47,72,97,89,87,392,78.4,Successful
Arnav Sharma,24,Female,52,71,97,86,71,377,75.4,Successful
Sara Sharma,23,Male,68,91,73,79,45,356,71.2,Successful
Aadhya Shah,21,Female,33,65,47,89,45,279,55.8,Successful
Aditi Shah,24,Male,73,47,97,89,45,351,70.2,Successful
Khushi Sharma,20,Female,52,97,66,89,45,349,69.8,Successful
Saanvi Patel,22,Female,52,49,96,39,45,281,56.2,Successful
Mohammad Shah,22,Female,52,34,97,89,78,350,70,Successful
Aarav Patel,23,Female,83,70,97,100,47,397,79.4,Successful
Reyansh Sharma,23,Female,71,59,82,92,73,377,75.4,Successful
Aadi Patel,20,Male,52,70,72,45,83,322,64.4,Successful
Krish Shah,23,Female,52,67,97,55,97,368,73.6,Successful
Aarush Shah,24,Female,43,70,43,68,56,280,56,Successful
Darsh Patel,22,Female,52,67,82,80,95,376,75.2,Successful
Pranav Sharma,21,Female,58,99,34,41,57,289,57.8,Successful
Ritik Shah,22,Female,52,65,97,52,45,311,62.2,Successful
Aarav Sharma,23,Female,52,70,37,89,45,293,58.6,Successful
Aarush Patel,22,Male,50,93,84,89,45,361,72.2,Successful
Ansh Patel,19,Male,52,69,100,59,40,320,64,Successful
Aaryan Shah,20,Female,68,81,77,89,43,358,71.6,Successful
Arjun Sharma,19,Male,52,76,97,47,45,317,63.4,Successful
Ansh Patel,21,Male,52,86,100,89,35,362,72.4,Successful
Shreyansh Patel,24,Female,85,88,56,61,45,335,67,Successful
Reyansh Shah,22,Male,37,70,67,94,40,308,61.6,Successful
Nidhi Sharma,20,Female,74,70,79,89,98,410,82,Successful
Darsh Shah,20,Male,52,54,71,89,45,311,62.2,Successful
Atharva Shah,21,Male,51,60,86,46,35,278,55.6,Successful
Neha Sharma,22,Male,44,70,97,89,74,374,74.8,Successful
Sara Sharma,21,Male,52,70,97,81,95,395,79,Successful
Vihaan Sharma,21,Male,75,82,97,89,79,422,84.4,Successful
Neha Sharma,21,Female,52,70,97,100,89,408,81.6,Successful
